WORKCENTER,WEEK_ENDING,WKOR_PRODUCT_CODE,SumOfstdhours,SumOfOThours,SumOfdthrs,SumOftotalhrs,comp_work,PTB,defects,SumOfREWORK_HRS,SumOfREPAIR_HRS,SumOfREFAB_HRS,totrwkhrs,total_def_cost
J0041901,2019/01/26,MG,111.9,19.9,5.8,137.6,0.989,0.72%,,,,,,
J0041901,2019/02/02,MG,90.2,12.5,4,106.7,,0,,,,,,
J0041901,2019/02/09,MG,105.6,13.1,6.9,125.6,0.185,0.15%,,,,,,
J0041901,2019/02/16,MG,102.2,12.7,12.5,127.4,,0,,,,,,
J0041901,2019/02/23,MG,76.9,14.1,0,91,,0,,,,,,
J0041901,2019/03/02,MG,107.5,8.8,0,116.3,,0,,,,,,
J0041901,2019/03/09,MG,121.7,23.8,6.1,151.6,,0,,,,,,
J0041901,2019/03/16,MG,90.7,22.5,0,113.2,1.265,1.12%,,,,,,
J0041901,2019/03/23,MG,110.3,13,7.5,130.8,,0,,,,,,
J0041901,2019/03/30,MG,88.7,24.4,0,113.1,,0,,,,,,
J0041901,2019/04/06,MG,69.5,19.8,3.3,92.6,0.185,0.20%,,,,,,
J0041901,2019/04/13,MG,111.9,24.3,0,136.2,0.184,0.14%,,,,,,
J0041901,2019/04/20,MG,82.8,16.5,6.7,106,,0,,,,,,
J0041901,2019/04/27,MG,121.7,28.5,0,150.2,,0,,,,,,
J0041901,2019/05/04,MG,60.1,13,0,73.1,,0,,,,,,
J0041901,2019/05/11,MG,98.8,13.6,6.6,119,,0,,,,,,
J0041901,2019/05/18,MG,83,20.8,0,103.8,1.265,1.22%,,,,,,
J0041901,2019/05/25,MG,102.2,16.4,6.2,124.8,0.805,0.65%,,,,,,
J0041901,2019/06/01,MG,69.8,19.8,0,89.6,,0,,,,,,
J0041901,2019/06/08,MG,114.4,1.9,0.6,116.9,,0,,,,,,
J0041901,2019/06/15,MG,76.2,21.6,0,97.8,,0,,,,,,
J0041901,2019/06/22,MG,83.2,24.1,5.7,113,1.265,1.12%,,,,,,
J0041901,2019/06/29,MG,50.1,14.5,4.3,68.9,,0,,,,,,
J0041901,2019/07/06,MG,61,9.9,6.2,77.1,,0,,,,,,
J0041901,2019/07/13,MG,64.2,21.1,6.1,91.4,1.457,1.59%,,,,,,
J0041901,2019/07/20,MG,94.2,22.7,0,116.9,0.132,0.11%,,,,,,
J0041901,2019/07/27,MG,79,23,12,114,,0,,,,,,
J0041901,2019/08/03,MG,108,16.3,12.5,136.8,,0,,,,,,
J0041901,2019/08/10,MG,93.4,0,9.1,102.5,,0,,,,,,
J0041902,2018/08/11,MG,2,0,0,2,,0,,,,,,
J0041902,2018/08/18,MG,2.9,0.5,0,3.4,,0,,,,,,
J0041902,2018/08/25,MG,2.9,14.2,0,17.1,,0,,,,,,
J0041902,2018/09/01,MG,20.2,2.1,0,22.3,,0,,,,,,
J0041902,2018/09/22,MG,0.9,0,0,0.9,,0,,,,,,
J0041902,2018/10/06,MG,8,0,0,8,,0,,,,,,
J0041902,2018/10/13,MG,0.6,0,0,0.6,,0,,,,,,
J0041902,2018/10/20,MG,1.5,0,0,1.5,,0,,,,,,
J0041902,2018/10/27,MG,5,0,0,5,,0,,,,,,
J0041902,2018/11/17,MG,2.4,0,0,2.4,,0,,,,,,
J0041902,2018/12/01,MG,9.4,0,0,9.4,,0,,,,,,
J0041902,2018/12/15,MG,7.2,0,0,7.2,,0,,,,,,
J0041902,2019/01/12,MG,3.6,0,0,3.6,,0,,,,,,
J0041902,2019/02/02,MG,0.9,9.7,0,10.6,,0,,,,,,
J0041902,2019/03/23,MG,0,0.9,0,0.9,,0,,,,,,
J0041902,2019/03/30,MG,25.5,0,0,25.5,,0,,,,,,
J0041902,2019/04/06,MG,47.9,0,0,47.9,,0,,,,,,
J0041902,2019/04/13,MG,11.2,2.5,0,13.7,,0,,,,,,
J0041902,2019/04/20,MG,3.5,0,0,3.5,,0,,,,,,
J0041902,2019/05/04,MG,3.9,4.8,0,8.7,,0,,,,,,
J0041902,2019/05/25,MG,6.2,1.8,0,8,,0,,,,,,
J0041902,2019/06/01,MG,15.8,2.5,0,18.3,,0,,,,,,
J0041902,2019/06/08,MG,20.8,3.2,0,24,,0,,,,,,
J0041902,2019/06/15,MG,2,0,0,2,,0,,,,,,
J0041902,2019/06/22,MG,11.9,3.1,0,15,,0,,,,,,
J0041902,2019/06/29,MG,9.3,3.9,0,13.2,,0,,,,,,
J0041902,2019/07/06,MG,8.5,0,0,8.5,,0,,,,,,
J0041902,2019/07/13,MG,25,0.4,0,25.4,,0,,,,,,
J0041902,2019/07/20,MG,11.4,4.3,0,15.7,,0,,,,,,
J0041902,2019/07/27,MG,22.2,5.9,0,28.1,,0,,,,,,
J0041902,2019/08/03,MG,20.3,5.2,4,29.5,,0,,,,,,
J0042101,2018/10/20,BC,5.6,0,0,5.6,,0,,,,,,
